stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
490003690W,,Battersea Park Library (Stop LC),,51.4744190,-0.1552290,,,0,,Europe/London,1
490003691N,,Ethelburga Street (Stop BH),,51.4767490,-0.1684990,,,0,,Europe/London,1
490003726E,,Fulham Road  Beaufort Street (Stop HH),,51.4875600,-0.1785230,,,0,,Europe/London,1
490003726W2,,Fulham Road  Beaufort Street (Stop HR),,51.4872860,-0.1786780,,,0,,Europe/London,1
490003796D,,Bedford Road (Stop D),,51.4596520,-0.1297110,,,0,,Europe/London,1
490003796E,,Bedford Road (Stop E),,51.4597170,-0.1304140,,,0,,Europe/London,1
490003837N,,Belgrave Road (Stop S),,51.4904860,-0.1386340,,,0,,Europe/London,1
490003837S,,Belgrave Road (Stop R),,51.4907610,-0.1388110,,,0,,Europe/London,1
490003838X,,Belgravia Police Station (Stop X),,51.4916730,-0.1492170,,,0,,Europe/London,1
490004044S,,Bishops Park Road (Stop FN),,51.4742770,-0.2134820,,,0,,Europe/London,1
490004133E,,Bolingbroke Grove (Stop P),,51.4597240,-0.1718580,,,0,,Europe/London,1
490004133W,,Bolingbroke Grove (Stop SC),,51.4600830,-0.1705480,,,0,,Europe/London,1
490004138E,,Bolton Gardens  Brompton Library (Stop GA),,51.4903980,-0.1869090,,,0,,Europe/London,1
490004138W,,Bolton Gardens  Brompton Library (Stop GH),,51.4904020,-0.1865350,,,0,,Europe/London,1
490004174E,,Bothwell Street (Stop HC),,51.4835320,-0.2183920,,,0,,Europe/London,1
490004326N,,Bridgend Road (Stop TD),,51.4635160,-0.1866500,,,0,,Europe/London,1
490004326S,,Bridgend Road (Stop TM),,51.4633450,-0.1861530,,,0,,Europe/London,1
490004436C,,Victoria and Albert Museum (Stop M),,51.4962270,-0.1708590,,,0,,Europe/London,1
490004436F,,Victoria and Albert Museum (Stop N),,51.4963460,-0.1698170,,,0,,Europe/London,1
490004437E,,Brompton Square (Stop KW),,51.4977720,-0.1672820,,,0,,Europe/London,1
490004437W,,Brompton Square (Stop KU),,51.4974330,-0.1674680,,,0,,Europe/London,1
490004455BA,,Brook Green (Stop F),,51.4935150,-0.2159290,,,0,,Europe/London,1
490004455BB,,Brook Green (Stop H),,51.4937100,-0.2158350,,,0,,Europe/London,1
490004492N,,Broomhill Road,,51.4550250,-0.1971480,,,0,,Europe/London,1
490004492S,,Broomhill Road,,51.4536060,-0.1970750,,,0,,Europe/London,1
490004538W,,Brussels Road (Stop SA),,51.4604720,-0.1753400,,,0,,Europe/London,1
490004555P,,Buckingham Palace Road  Bressenden Place (Stop P),,51.4973300,-0.1443630,,,0,,Europe/London,1
490004568E,,Bullen Street (Stop LQ),,51.4711340,-0.1693280,,,0,,Europe/London,1
490004568W,,Bullen Street (Stop LD),,51.4715040,-0.1678160,,,0,,Europe/London,1
490004628JA,,Putney Arts Theatre (Stop J),,51.4614720,-0.2188480,,,0,,Europe/London,1
490004809KD,,Carlyle Square Chelsea (Stop KD),,51.4864310,-0.1712940,,,0,,Europe/London,1
490004912N,,Cedars Road  Clapham Common North Side (Stop Q),,51.4620590,-0.1491910,,,0,,Europe/London,1
490004912S,,Cedars Road  Clapham Common North Side (Stop R),,51.4622990,-0.1491240,,,0,,Europe/London,1
490004913E,,Cedars Road (Stop V),,51.4613490,-0.1499400,,,0,,Europe/London,1
490004913W,,Cedars Road (Stop P),,51.4612690,-0.1481720,,,0,,Europe/London,1
490004991N,,Charing Cross Hospital (Stop HT),,51.4871140,-0.2215080,,,0,,Europe/London,1
490004991S,,Charing Cross Hospital (Stop HA),,51.4872860,-0.2209970,,,0,,Europe/London,1
490005045E,,Chatfield Road (Stop TP),,51.4652370,-0.1805060,,,0,,Europe/London,1
490005045W,,Chatfield Road (Stop TH),,51.4646720,-0.1811330,,,0,,Europe/London,1
490005062HA,,Chelsea & Westminster Hospital (Stop HA),,51.4853820,-0.1817930,,,0,,Europe/London,1
490005062HF,,Chelsea & Westminster Hospital (Stop HF),,51.4851490,-0.1824650,,,0,,Europe/London,1
490005063N,,Royal Hospital Chelsea (Stop T),,51.4883730,-0.1538740,,,0,,Europe/London,1
490005064N,,Battersea Park  Chelsea Gate (Stop CJ),,51.4832230,-0.1496600,,,0,,Europe/London,1
490005064S,,Battersea Park  Chelsea Gate (Stop CC),,51.4826160,-0.1493390,,,0,,Europe/London,1
490005065N,,Chelsea Bridge Road (Stop P),,51.4899330,-0.1554530,,,0,,Europe/London,1
490005069E,,Chelsea Football Club (Stop V),,51.4801860,-0.1899930,,,0,,Europe/London,1
490005069W,,Chelsea Football Club (Stop W),,51.4800680,-0.1899260,,,0,,Europe/London,1
490005070N,,Imperial Wharf Station  Imperial Road (Stop J),,51.4732400,-0.1838600,,,0,,Europe/London,1
490005070W,,Bagleys Lane (Stop B),,51.4726560,-0.1840700,,,0,,Europe/London,1
490005071E,,Imperial Wharf Station (Stop K),,51.4755440,-0.1830630,,,0,,Europe/London,1
490005071S,,Imperial Whf Stn Chelsea Hrbr (Stop A),,51.4760090,-0.1834330,,,0,,Europe/London,1
490005073KC,,Chelsea Old Town Hall (Stop KC),,51.4883120,-0.1666100,,,0,,Europe/London,1
490005073KH,,Sydney Street  Chelsea Old Town Hall (Stop KH),,51.4878460,-0.1690920,,,0,,Europe/London,1
490005073KJ,,Sydney Street  Chelsea Old Town Hall (Stop KJ),,51.4878880,-0.1689460,,,0,,Europe/London,1
490005073KL,,Chelsea Old Town Hall (Stop KL),,51.4877850,-0.1680570,,,0,,Europe/London,1
490005074S,,Chelsea Park Gardens (Stop QS),,51.4855460,-0.1767460,,,0,,Europe/London,1
490005075E,,Chelsea Village (Stop U),,51.4803390,-0.1925070,,,0,,Europe/London,1
490005076E,,Hobury Street  Worlds End (Stop QH),,51.4824450,-0.1791300,,,0,,Europe/London,1
490005076S,,Limerston Street (Stop QX),,51.4831010,-0.1780240,,,0,,Europe/London,1
490005076W,,Edith Grove  Worlds End (Stop QR),,51.4822650,-0.1792240,,,0,,Europe/London,1
490005087W,,Chelsea Worlds End (Stand QZ),,51.4826390,-0.1782730,,,0,,Europe/London,1
490005138N,,Wilton Street (Stop U),,51.4993820,-0.1482570,,,0,,Europe/London,1
490005152N,,Cheyne Walk (Stop BM),,51.4825710,-0.1739550,,,0,,Europe/London,1
