LSOA_CODE,LSOA_NAME,MSOA_CODE,MSOA_NAME,STWARDCODE,STWARDNAME,LA_CODE,LA_NAME
E01000071,Barking and Dagenham 011E,E02000012,Barking and Dagenham 011,00ABGG,Longbridge,00AB,Barking and Dagenham
E01000072,Barking and Dagenham 017E,E02000018,Barking and Dagenham 017,00ABGH,Mayesbrook,00AB,Barking and Dagenham
E01000073,Barking and Dagenham 012B,E02000013,Barking and Dagenham 012,00ABGH,Mayesbrook,00AB,Barking and Dagenham
E01000074,Barking and Dagenham 012C,E02000013,Barking and Dagenham 012,00ABGH,Mayesbrook,00AB,Barking and Dagenham
E01000075,Barking and Dagenham 012D,E02000013,Barking and Dagenham 012,00ABGH,Mayesbrook,00AB,Barking and Dagenham
E01000076,Barking and Dagenham 012E,E02000013,Barking and Dagenham 012,00ABGH,Mayesbrook,00AB,Barking and Dagenham
E01000077,Barking and Dagenham 008F,E02000009,Barking and Dagenham 008,00ABGH,Mayesbrook,00AB,Barking and Dagenham
E01000078,Barking and Dagenham 007B,E02000008,Barking and Dagenham 007,00ABGJ,Parsloes,00AB,Barking and Dagenham
E01000079,Barking and Dagenham 009E,E02000010,Barking and Dagenham 009,00ABGJ,Parsloes,00AB,Barking and Dagenham
E01000080,Barking and Dagenham 007C,E02000008,Barking and Dagenham 007,00ABGJ,Parsloes,00AB,Barking and Dagenham
E01000081,Barking and Dagenham 007D,E02000008,Barking and Dagenham 007,00ABGJ,Parsloes,00AB,Barking and Dagenham
E01000082,Barking and Dagenham 007E,E02000008,Barking and Dagenham 007,00ABGJ,Parsloes,00AB,Barking and Dagenham
E01000083,Barking and Dagenham 007F,E02000008,Barking and Dagenham 007,00ABGJ,Parsloes,00AB,Barking and Dagenham
E01000084,Barking and Dagenham 013D,E02000014,Barking and Dagenham 013,00ABGK,River,00AB,Barking and Dagenham
E01000085,Barking and Dagenham 013E,E02000014,Barking and Dagenham 013,00ABGK,River,00AB,Barking and Dagenham
E01000086,Barking and Dagenham 013F,E02000014,Barking and Dagenham 013,00ABGK,River,00AB,Barking and Dagenham
E01000087,Barking and Dagenham 020B,E02000021,Barking and Dagenham 020,00ABGK,River,00AB,Barking and Dagenham
E01000088,Barking and Dagenham 020C,E02000021,Barking and Dagenham 020,00ABGK,River,00AB,Barking and Dagenham
E01000089,Barking and Dagenham 020D,E02000021,Barking and Dagenham 020,00ABGK,River,00AB,Barking and Dagenham
E01000090,Barking and Dagenham 020E,E02000021,Barking and Dagenham 020,00ABGK,River,00AB,Barking and Dagenham
E01000091,Barking and Dagenham 022A,E02000023,Barking and Dagenham 022,00ABGL,Thames,00AB,Barking and Dagenham
E01000092,Barking and Dagenham 019E,E02000020,Barking and Dagenham 019,00ABGL,Thames,00AB,Barking and Dagenham
E01000093,Barking and Dagenham 022B,E02000023,Barking and Dagenham 022,00ABGL,Thames,00AB,Barking and Dagenham
E01000094,Barking and Dagenham 022C,E02000023,Barking and Dagenham 022,00ABGL,Thames,00AB,Barking and Dagenham
E01000095,Barking and Dagenham 018E,E02000019,Barking and Dagenham 018,00ABGL,Thames,00AB,Barking and Dagenham
E01000096,Barking and Dagenham 022D,E02000023,Barking and Dagenham 022,00ABGL,Thames,00AB,Barking and Dagenham
E01000097,Barking and Dagenham 005D,E02000006,Barking and Dagenham 005,00ABGM,Valence,00AB,Barking and Dagenham
E01000098,Barking and Dagenham 005E,E02000006,Barking and Dagenham 005,00ABGM,Valence,00AB,Barking and Dagenham
E01000099,Barking and Dagenham 005F,E02000006,Barking and Dagenham 005,00ABGM,Valence,00AB,Barking and Dagenham
E01000100,Barking and Dagenham 004B,E02000005,Barking and Dagenham 004,00ABGM,Valence,00AB,Barking and Dagenham
E01000101,Barking and Dagenham 004C,E02000005,Barking and Dagenham 004,00ABGM,Valence,00AB,Barking and Dagenham
E01000102,Barking and Dagenham 007G,E02000008,Barking and Dagenham 007,00ABGM,Valence,00AB,Barking and Dagenham
E01000103,Barking and Dagenham 014A,E02000015,Barking and Dagenham 014,00ABGN,Village,00AB,Barking and Dagenham
E01000104,Barking and Dagenham 014B,E02000015,Barking and Dagenham 014,00ABGN,Village,00AB,Barking and Dagenham
E01000105,Barking and Dagenham 014C,E02000015,Barking and Dagenham 014,00ABGN,Village,00AB,Barking and Dagenham
E01000106,Barking and Dagenham 014D,E02000015,Barking and Dagenham 014,00ABGN,Village,00AB,Barking and Dagenham
E01000107,Barking and Dagenham 010C,E02000011,Barking and Dagenham 010,00ABGN,Village,00AB,Barking and Dagenham
E01000108,Barking and Dagenham 010D,E02000011,Barking and Dagenham 010,00ABGN,Village,00AB,Barking and Dagenham
E01000109,Barking and Dagenham 004D,E02000005,Barking and Dagenham 004,00ABGP,Whalebone,00AB,Barking and Dagenham
E01000110,Barking and Dagenham 002C,E02000003,Barking and Dagenham 002,00ABGP,Whalebone,00AB,Barking and Dagenham
E01000111,Barking and Dagenham 002D,E02000003,Barking and Dagenham 002,00ABGP,Whalebone,00AB,Barking and Dagenham
E01000112,Barking and Dagenham 002E,E02000003,Barking and Dagenham 002,00ABGP,Whalebone,00AB,Barking and Dagenham
E01000113,Barking and Dagenham 002F,E02000003,Barking and Dagenham 002,00ABGP,Whalebone,00AB,Barking and Dagenham
E01000114,Barking and Dagenham 004E,E02000005,Barking and Dagenham 004,00ABGP,Whalebone,00AB,Barking and Dagenham
E01000115,Barnet 009A,E02000032,Barnet 009,00ACFX,Brunswick Park,00AC,Barnet
E01000116,Barnet 009B,E02000032,Barnet 009,00ACFX,Brunswick Park,00AC,Barnet
E01000117,Barnet 010A,E02000033,Barnet 010,00ACFX,Brunswick Park,00AC,Barnet
E01000118,Barnet 010B,E02000033,Barnet 010,00ACFX,Brunswick Park,00AC,Barnet
E01000119,Barnet 009C,E02000032,Barnet 009,00ACFX,Brunswick Park,00AC,Barnet
E01000120,Barnet 009D,E02000032,Barnet 009,00ACFX,Brunswick Park,00AC,Barnet
E01000121,Barnet 010C,E02000033,Barnet 010,00ACFX,Brunswick Park,00AC,Barnet
E01000122,Barnet 009E,E02000032,Barnet 009,00ACFX,Brunswick Park,00AC,Barnet
E01000123,Barnet 010D,E02000033,Barnet 010,00ACFX,Brunswick Park,00AC,Barnet
E01000124,Barnet 010E,E02000033,Barnet 010,00ACFX,Brunswick Park,00AC,Barnet
E01000125,Barnet 024A,E02000047,Barnet 024,00ACFY,Burnt Oak,00AC,Barnet
E01000126,Barnet 026A,E02000049,Barnet 026,00ACFY,Burnt Oak,00AC,Barnet
E01000127,Barnet 024B,E02000047,Barnet 024,00ACFY,Burnt Oak,00AC,Barnet
E01000128,Barnet 024C,E02000047,Barnet 024,00ACFY,Burnt Oak,00AC,Barnet
E01000129,Barnet 024D,E02000047,Barnet 024,00ACFY,Burnt Oak,00AC,Barnet
E01000130,Barnet 021A,E02000044,Barnet 021,00ACFY,Burnt Oak,00AC,Barnet
E01000131,Barnet 024E,E02000047,Barnet 024,00ACFY,Burnt Oak,00AC,Barnet
E01000132,Barnet 021B,E02000044,Barnet 021,00ACFY,Burnt Oak,00AC,Barnet
E01000133,Barnet 021C,E02000044,Barnet 021,00ACFY,Burnt Oak,00AC,Barnet
E01000134,Barnet 024F,E02000047,Barnet 024,00ACFY,Burnt Oak,00AC,Barnet
E01000135,Barnet 038A,E02000061,Barnet 038,00ACFZ,Childs Hill,00AC,Barnet
E01000136,Barnet 038B,E02000061,Barnet 038,00ACFZ,Childs Hill,00AC,Barnet
E01000137,Barnet 041A,E02000064,Barnet 041,00ACFZ,Childs Hill,00AC,Barnet
E01000138,Barnet 040A,E02000063,Barnet 040,00ACFZ,Childs Hill,00AC,Barnet
E01000139,Barnet 041B,E02000064,Barnet 041,00ACFZ,Childs Hill,00AC,Barnet
E01000140,Barnet 041C,E02000064,Barnet 041,00ACFZ,Childs Hill,00AC,Barnet
E01000141,Barnet 039A,E02000062,Barnet 039,00ACFZ,Childs Hill,00AC,Barnet
E01000142,Barnet 040B,E02000063,Barnet 040,00ACFZ,Childs Hill,00AC,Barnet
E01000143,Barnet 041D,E02000064,Barnet 041,00ACFZ,Childs Hill,00AC,Barnet
E01000144,Barnet 038C,E02000061,Barnet 038,00ACFZ,Childs Hill,00AC,Barnet
E01000145,Barnet 037A,E02000060,Barnet 037,00ACFZ,Childs Hill,00AC,Barnet
